Control from F1,Best Match from F2,Similarity Score,Match Type
"ID.AM-1.3: When unauthorized hardware is detected, it shall be quarantined for possible exception handling, removed, or replaced, and the inventory shall be updated accordingly.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.579677164554596,Partial Match
"BASIC_ID.AM-5.1: The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5378249883651733,Partial Match
"BASIC_ID.AM-5.1: The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5378249883651733,Partial Match
BASIC_ID.RA-1.1: Threats and vulnerabilities shall be identified.,ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,0.7565029859542847,Partial Match
"ID.RA-1.2: A process shall be established to monitor, identify, and document vulnerabilities of the organisation's business critical systems in a continuous manner.",ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,0.6776506900787354,Partial Match
PR.IP-12.1: The organization shall establish and maintain a documented process that allows continuous review of vulnerabilities and strategies to mitigate them.,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.533005952835083,Partial Match
DE.CM-8.1: The organization shall monitor and scan for vulnerabilities in its critical systems and hosted applications ensuring that system functions are not adversely impacted by the scanning process.,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.533435046672821,Partial Match
"DE.CM-8.2: The vulnerability scanning process shall include analysis, remediation, and information sharing.","ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.6714082956314087,Partial Match
"RS.AN-5.1: The organization shall implement vulnerability management processes and procedures that include processing, analyzing and remedying vulnerabilities from internal and external sources.","ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.6738519668579102,Partial Match
"PR.IP-1.1: The organization shall develop, document, and maintain a baseline configuration for the its business critical systems.","PR.PS-01: Configuration management practices are applied (formerly PR.IP-01, PR.IP-03, PR.PT-02, PR.PT-03)",0.6568432450294495,Partial Match
PR.IP-6.1: The organization shall ensure that its critical system's data is destroyed according to policy.,"PR.DS-09: Data is managed throughout its life cycle, including destruction (formerly PR.IP-06)",0.6869288086891174,Partial Match
