Domain,Subcategory,Requirement,Best Match from Service Org Framework,Similarity Score,Match Type
Asset Management (ID.AM),ID.AM-1: Physical devices and systems within the organization are inventoried,"BASIC_ID.AM-1.1: An inventory of assets associated with information and information processing facilities within the organization shall be documented, reviewed, and updated when changes occur.",,,
Asset Management (ID.AM),ID.AM-1: Physical devices and systems within the organization are inventoried,ID.AM-1.2: The inventory of assets associated with information and information processing facilities shall reflect changes in the  organization’s context and include all information necessary for effective accountability.,,,
Asset Management (ID.AM),ID.AM-1: Physical devices and systems within the organization are inventoried,"ID.AM-1.3: When unauthorized hardware is detected, it shall be quarantined for possible exception handling, removed, or replaced, and the inventory shall be updated accordingly.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5796769857406616,Partial Match
Asset Management (ID.AM),ID.AM-2: Software platforms and applications within the organization are inventoried,"BASIC_ID.AM-2.1: An inventory that reflects what software platforms and applications are being used in the organization shall be documented, reviewed, and updated when changes occur.",,,
Asset Management (ID.AM),ID.AM-2: Software platforms and applications within the organization are inventoried,ID.AM-2.2: The inventory of software platforms and applications  associated with information and information processing shall reflect changes in the  organization’s context and include all information necessary for effective accountability.,,,
Asset Management (ID.AM),ID.AM-2: Software platforms and applications within the organization are inventoried,ID.AM-2.3: Individuals who are responsible and who are accountable for administering software platforms and applications within the organization shall be identified.,,,
Asset Management (ID.AM),ID.AM-2: Software platforms and applications within the organization are inventoried,"ID.AM-2.4: When unauthorized software is detected, it shall be quarantined for possible exception handling, removed, or replaced, and the inventory shall be updated accordingly.",,,
Asset Management (ID.AM),ID.AM-3: Organizational communication and data flows are mapped,BASIC_ID.AM-3.1: Information that the organization stores and uses shall be identified.,,,
Asset Management (ID.AM),ID.AM-3: Organizational communication and data flows are mapped,"ID.AM-3.2: All connections within the organization's ICT/OT environment, and to other organization-internal platforms shall be mapped, documented, approved, and updated as appropriate.",,,
Asset Management (ID.AM),ID.AM-4: External information systems are catalogued,"ID.AM-4.1: The organization shall map, document, authorize and when changes occur, update, all external services and the connections made with them.",,,
Asset Management (ID.AM),"ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","BASIC_ID.AM-5.1: The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5378249883651733,Partial Match
Asset Management (ID.AM),"ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","BASIC_ID.AM-5.1: The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5378249883651733,Partial Match
Asset Management (ID.AM),"ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","BASIC_ID.AM-5.1: The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5378249883651733,Partial Match
Asset Management (ID.AM),"ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","BASIC_ID.AM-5.1: The organization’s resources (hardware, devices, data, time, personnel, information, and software) shall be prioritized based on their classification, criticality, and business value.",ID.AM-01: Inventories of hardware managed by the organization are maintained,0.5378249883651733,Partial Match
Asset Management (ID.AM),"ID.AM-6: Cybersecurity roles, responsibilities, and authorities for the entire workforce and third-party stakeholders are established","ID.AM-6.1: Information security and cybersecurity roles, responsibilities and authorities within the organization shall be documented, reviewed, authorized, and updated and alignment with organization-internal roles and external partners.",,,
Business Environment (ID.BE),ID.BE-1: The organization’s role in the supply chain is identified and communicated,"ID.BE-1.1: The organization’s role in the supply chain shall be identified, documented, and communicated. ",ID.AM-04: Inventories of services provided by suppliers are maintained,0.5784890651702881,Partial Match
Business Environment (ID.BE),ID.BE-2: The organization’s place in critical infrastructure and its industry sector is identified and communicated,ID.BE-2.1: The organization’s place in critical infrastructure and its industry sector shall be identified and communicated.,,,
Business Environment (ID.BE),"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated","ID.BE-3.1: Priorities for organizational mission, objectives, and activities are established and communicated.",,,
Business Environment (ID.BE),ID.BE-4: Dependencies and critical functions for delivery of critical services are established,"ID.BE-4.1: Dependencies and mission-critical functions for the delivery of critical services shall be identified, documented, and prioritized according to their criticality as part of the risk assessment process.",,,
Business Environment (ID.BE),"ID.BE-5: Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)","ID.BE-5.1: To support cyber resilience and secure the delivery of critical services, the necessary requirements are identified, documented and their implementation tested and approved.",,,
Governance (ID.GV),ID.GV-1: Organizational cybersecurity policy is established and communicated,"BASIC_ID.GV-1.1: Policies and procedures for information security and cyber security shall be created, documented, reviewed, approved, and updated when changes occur.",,,
Governance (ID.GV),ID.GV-1: Organizational cybersecurity policy is established and communicated,"ID.GV-1.2: An organization-wide information security and cybersecurity policy shall be established, documented, updated when changes occur, disseminated, and approved by senior management.",,,
Governance (ID.GV),"ID.GV-3: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed","BASIC_ID.GV-3.1: Legal and regulatory requirements regarding information/cybersecurity, including privacy obligations, shall be understood and implemented.","GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed (formerly ID.GV-03)",0.753981351852417,Partial Match
Governance (ID.GV),"ID.GV-3: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed","ID.GV-3.2: Legal and regulatory requirements regarding information/cybersecurity, including privacy obligations, shall be managed.","GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed (formerly ID.GV-03)",0.8165517449378967,Full Match
Governance (ID.GV),ID.GV-4: Governance and risk management processes address cybersecurity risks,"BASIC_ID.GV-4.1: As part of the company's overall risk management, a comprehensive strategy to manage information security and cybersecurity risks shall be developed and updated when changes occur.","GV.RR-02: Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced (formerly ID.AM-06, ID.GV-02, DE.DP-01)",0.6819784045219421,Partial Match
Governance (ID.GV),ID.GV-4: Governance and risk management processes address cybersecurity risks,"ID.GV-4.2: Information security and cybersecurity risks shall be documented, formally approved, and updated when changes occur.	",,,
Risk Assessment (ID.RA),ID.RA-1: Asset vulnerabilities are identified and documented,BASIC_ID.RA-1.1: Threats and vulnerabilities shall be identified.,ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,0.7565029263496399,Partial Match
