Domain,Sub-Domain,Control,Controls from F2 that match,Similarity Scores
Continuous Vulnerability Management,"Patch deployment processes for Operating system, firmware & software",What % of systems in relation to the service are patched?,"VM002.03 On identification of a “critical” vulnerability, the deployment of a patch must be reviewed by assessing the level of risk and potential impact to the target systems prior to deployment.",0.72
Continuous Vulnerability Management,"Patch deployment processes for Operating system, firmware & software",What % of systems in relation to the service are patched?,VM002.01 All security patches MUST be deployed to in-scope IT systems in the earliest available patching cycle and following approval by the Threat Evaluation Committee.,0.71
Continuous Vulnerability Management,"Patch deployment processes for Operating system, firmware & software",What % of systems in relation to the service are patched?," VM002.02 Remediation activities MUST be managed through the applicable change management process for all missing patches, configuration changes, or changes to the organisation’s internally developed software. 
Table C of ""Continuous Vulnerability Management"" summarizes the patching schedules for security vulnerability patches. ",0.69
Continuous Vulnerability Management,Vulnerability Scans of Assets Enabled (Coverage),What % of assets used by the service are covered within the scope of vulnerability scanning?,VM001.01 Periodic scanning MUST be performed at the frequency specified in Table A of Continuous Vulnerability Management Standard for all in-scope IT systems ,0.55
Continuous Vulnerability Management,Vulnerability Scans of Assets Enabled (Coverage),What % of assets used by the service are covered within the scope of vulnerability scanning?,VM004.02 Requirements for frequency of security testing and vulnerability scanning for different asset types and for mobile applications are outlined in Table A & Table B of Continuous Vulnerability Management Standard.,0.54
Continuous Vulnerability Management,Vulnerability Scans of Assets Enabled (Coverage),What % of assets used by the service are covered within the scope of vulnerability scanning?,"VM001.06: In addition to the above CVE checking, scanning of all layers to be used in a production service MUST also undergo scanning to check for other poor security practice including secrets and tokens left inside the container, surplus or superfluous layers, scripts and text files containing administrative accounts/passwords and any other common vulnerabilities due to poor practice.",0.49
Continuous Vulnerability Management,Vulnerability Remediation (By Risk),"What % of critical and high vulnerabilities identified in relation to the service/IT application, in the past 3 months or since the server build, have been remediated within defined SLA?","VM003.03: In the event of serious vulnerability announcements made either for operating system or vendor supplied software, respective platform/central teams must address the recommended fixes to the affected systems and applications in accordance with 'Urgent/Emergency' patch schedule in Table C and ‘Severity 5' in Table D. Vendor defined Zero-day vulnerabilities MUST be remediated ‘immediately or within 24 hours’.

‘Serious’ as defined by Vendor, e.g. emergency patches or patches/vulnerabilities identified via threat intelligence classified as severity 5",0.58
Continuous Vulnerability Management,Vulnerability Remediation (By Risk),"What % of critical and high vulnerabilities identified in relation to the service/IT application, in the past 3 months or since the server build, have been remediated within defined SLA?","VM003.01 For vulnerabilities discovered on the web layer scans, remediation MUST be carried out in timescales proportionate to their assessed criticality as outlined under Table D of Continuous Vulnerability Management Standard.",0.55
Continuous Vulnerability Management,Vulnerability Remediation (By Risk),"What % of critical and high vulnerabilities identified in relation to the service/IT application, in the past 3 months or since the server build, have been remediated within defined SLA?","VM003.02 For vulnerabilities discovered on the infrastructure scans, remediation MUST aligned to timescales aligned to ‘Routine’ patching activity, as outlined under Table C of Continuous Vulnerability Management Standard",0.54
Continuous Vulnerability Management,Vulnerability Scans of Assets Enabled (Compliance),"How often is vulnerability scanning performed, to identify vulnerabilities in relation to the entity?",VM001.01 Periodic scanning MUST be performed at the frequency specified in Table A of Continuous Vulnerability Management Standard for all in-scope IT systems ,0.55
Continuous Vulnerability Management,Vulnerability Scans of Assets Enabled (Compliance),"How often is vulnerability scanning performed, to identify vulnerabilities in relation to the entity?","VM001.03: Where Unilever does not have the permission to conduct vulnerability scanning of enterprise web or mobile applications hosted in SaaS or PaaS environments, formal and independent assurance must be obtained in the form of:

· SOC2, SOC3 reports conducted in accordance with the SSAE 18 Standard. CUEC (Complimentary User Entity Controls) clauses must be reviewed to confirm whether responsibility for vulnerability scans sits with the cloud provider or with the customer.

· Vulnerability assessments and penetration test reports from an independent and reputable source",0.50
Continuous Vulnerability Management,Vulnerability Scans of Assets Enabled (Compliance),"How often is vulnerability scanning performed, to identify vulnerabilities in relation to the entity?",VM004.02 Requirements for frequency of security testing and vulnerability scanning for different asset types and for mobile applications are outlined in Table A & Table B of Continuous Vulnerability Management Standard.,0.49
Continuous Vulnerability Management,Regular Penetration Testing for Priority Assets,Is penetration testing conducted for the service in scope?,VM004.01 Penetration testing MUST occur annually for Priority Systems/Digital Crown Jewels.,0.71
